County,Sector,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
ALAMEDA,Non-Residential,6938.942891,7906.188859,7624.948278,8095.156563,7870.029885,7345.08846,7410.655477,7635.87961,7593.020906,7954.326041,7700.744182,7342.418997,8182.105107,8766.368029,8063.871945,8040.677492,7773.157395,7662.43112,7613.366379,7443.365995,7736.055471,7766.058995,7193.581963,7823.244481,7769.025061,7309.930938,6668.237122,7260.776432,6822.523242,6809.573768,7109.299895,235231.051
ALAMEDA,Residential,3308.467553,3015.393947,2948.368675,2995.051965,2920.921179,2897.493974,2894.253363,2986.226437,2999.683662,3024.848218,3021.677436,3016.750714,2996.423893,2971.909026,3118.292069,3025.275108,2897.838896,2937.121764,2811.630947,2745.213966,2926.11798,2890.767335,2791.331173,2674.834394,2615.308775,2548.457958,2774.566317,2529.229286,2465.000074,2515.20997,2498.265626,88761.93168
ALAMEDA,Total,10247.41044,10921.58281,10573.31695,11090.20853,10790.95107,10242.58243,10304.90884,10622.10605,10592.70457,10979.17426,10722.42162,10359.16971,11178.529,11738.27705,11182.16401,11065.9526,10670.99629,10599.55288,10424.99733,10188.57996,10662.17345,10656.82633,9984.913137,10498.07888,10384.33384,9858.388895,9442.803439,9790.005719,9287.523316,9324.783738,9607.565521,323992.9827
SAN MATEO,Non-Residential,2515.599714,2803.114989,2747.317227,2836.572778,2844.100878,2930.845254,2951.891731,2959.504373,2929.060855,2967.483009,3150.016017,3357.357064,3463.933211,3407.557001,3074.124959,2976.164049,3217.27858,3098.579719,2701.606632,2754.706862,3222.07999,2991.725355,2899.264542,2872.936277,2674.765973,2608.135044,2530.109789,2539.764883,2536.05216,2489.600546,2574.698985,89625.94845
SAN MATEO,Residential,1651.906843,1538.968803,1510.637228,1524.206834,1501.044557,1507.180942,1507.281275,1574.115637,1586.291938,1605.584329,1617.719019,1614.531119,1613.053964,1593.387963,1597.629153,1568.4222,1545.741158,1514.162099,1513.326802,1475.198816,1586.723204,1591.034395,1534.497299,1483.444353,1445.210949,1413.561677,1412.081315,1415.799756,1371.915575,1400.528192,1392.880024,47208.06742
SAN MATEO,Total,4167.506557,4342.083791,4257.954455,4360.779612,4345.145435,4438.026196,4459.173005,4533.62001,4515.352793,4573.067338,4767.735036,4971.888183,5076.987175,5000.944963,4671.754112,4544.586248,4763.019737,4612.741819,4214.933433,4229.905678,4808.803193,4582.75975,4433.76184,4356.38063,4119.976922,4021.696721,3942.191103,3955.564639,3907.967735,3890.128738,3967.579009,136834.0159
LOS ANGELES,Non-Residential,42736.77492,46105.55085,47361.08362,47960.38302,49095.00332,49066.206,49178.0711,47727.84957,48169.00306,48113.92708,48522.30505,49346.67319,50953.72104,50708.51125,50547.06276,50269.47397,49696.55228,49453.24395,49792.1976,51528.46192,50552.05427,49048.16589,48471.75492,48285.60143,47858.7048,45642.42614,46716.10028,46441.64974,46896.07258,46403.95689,47787.07492,1500435.617
LOS ANGELES,Residential,22913.1031,20699.46807,20525.58907,20671.69122,20295.25627,20436.65061,20745.73509,20614.32717,21079.32768,20065.71138,19721.79503,20590.54897,21115.80783,20536.22535,20377.05411,19711.03736,19507.04179,19056.04771,17917.33927,18212.58304,18891.63726,17665.12029,17234.6328,17578.66111,16322.04568,16823.62935,16065.5834,15759.08304,16377.79499,16310.88407,16960.72006,590782.1322
LOS ANGELES,Total,65649.87801,66805.01892,67886.67269,68632.07424,69390.25959,69502.85661,69923.8062,68342.17675,69248.33074,68179.63846,68244.10008,69937.22216,72069.52888,71244.73659,70924.11687,69980.51133,69203.59407,68509.29166,67709.53687,69741.04496,69443.69153,66713.28618,65706.38772,65864.26254,64180.75048,62466.05549,62781.68367,62200.73278,63273.86757,62714.84095,64747.79498,2091217.75
MERCED,Non-Residential,2443.906781,2999.848457,2841.942098,3230.839107,2759.898988,2215.797556,2302.390082,2359.602611,2601.121211,2980.989107,2737.518287,2065.608563,2055.729729,3009.858453,2153.967789,2275.321949,2470.215537,2264.325693,2388.289927,2265.793743,2326.722409,2719.787749,1891.781747,2239.912634,2259.405903,2082.363487,1684.929839,2338.4784,1728.999635,1630.122838,1891.488283,73216.95859
MERCED,Residential,817.630101,722.21796,717.748867,742.200816,706.911163,707.891222,719.565532,698.583718,704.225763,677.187099,658.127325,676.946532,669.135374,658.162774,654.680604,620.922152,612.592948,593.007899,562.77454,539.40605,555.908097,536.279291,519.539331,509.773267,502.477454,475.984955,471.520428,464.213059,414.612266,410.238408,445.584211,18766.04921
MERCED,Total,3261.536882,3722.066418,3559.690965,3973.039923,3466.810151,2923.688778,3021.955614,3058.186328,3305.346975,3658.176206,3395.645612,2742.555095,2724.865104,3668.021227,2808.648393,2896.244101,3082.808485,2857.333593,2951.064466,2805.199793,2882.630506,3256.06704,2411.321078,2749.685901,2761.883357,2558.348443,2156.450267,2802.691459,2143.611901,2040.361245,2337.072494,91983.0078
VENTURA,Non-Residential,3438.904707,3602.761644,3654.93038,3681.758604,3677.232895,3774.074613,3581.216316,3496.142687,3603.209424,3669.891625,3662.761125,3731.82233,4026.761862,3855.33585,3925.706373,3863.204331,3833.393092,3647.245704,3995.82334,3631.755263,4219.879177,3851.578802,3529.880207,3386.577083,3234.9659,3169.761569,3131.497167,3088.869198,3029.454746,3062.385239,3140.335462,111199.1167
VENTURA,Residential,2023.027695,1859.920027,1792.317836,1827.933348,1778.723993,1817.453627,1905.50716,1901.986362,1918.996358,1800.861122,1788.88901,1855.118073,1891.185623,1840.943618,1765.024934,1785.617789,1743.615464,1692.275012,1582.514287,1533.135745,1652.825607,1519.146669,1462.680976,1481.608592,1426.889935,1385.918311,1395.507016,1351.133971,1371.460201,1348.88449,1349.773045,51850.8759
VENTURA,Total,5461.932402,5462.68167,5447.248216,5509.691952,5455.956888,5591.52824,5486.723476,5398.129049,5522.205781,5470.752747,5451.650135,5586.940402,5917.947485,5696.279468,5690.731308,5648.82212,5577.008556,5339.520716,5578.337627,5164.891008,5872.704785,5370.725471,4992.561183,4868.185675,4661.855835,4555.67988,4527.004183,4440.003169,4400.914947,4411.26973,4490.108507,163049.9926
TUOLUMNE,Non-Residential,233.52668,240.898769,244.790321,243.531187,238.282526,235.269209,234.039385,240.763618,233.46427,224.999074,211.800938,222.367042,203.31491,210.541422,503.206206,261.292037,222.674649,205.366731,218.972553,217.069701,247.175337,229.161142,222.044267,189.580156,164.130195,212.190963,239.120033,268.216975,253.808013,248.55879,247.077631,7367.23473
TUOLUMNE,Residential,225.817354,211.080586,208.626816,217.220577,209.496378,206.746534,206.394527,220.057501,220.626327,220.781305,223.120162,224.598021,224.826821,223.197441,219.319629,213.712291,217.990678,207.067567,208.126042,200.323222,207.414036,206.826367,203.618627,191.286347,189.765704,186.285027,185.058503,187.026583,181.083104,186.355869,184.325696,6418.175642
TUOLUMNE,Total,459.344034,451.979355,453.417136,460.751763,447.778904,442.015743,440.433912,460.82112,454.090597,445.78038,434.921101,446.965063,428.141731,433.738863,722.525835,475.004328,440.665328,412.434298,427.098595,417.392923,454.589373,435.987509,425.662893,380.866502,353.895899,398.475991,424.178536,455.243558,434.891116,434.914659,431.403327,13785.41037
INYO,Non-Residential,142.933794,149.686744,151.088303,145.832992,167.683839,151.170724,154.197065,172.985481,179.612457,179.955851,172.162083,173.143499,155.947972,159.551245,166.397993,165.693876,175.855193,165.564074,174.030879,172.518465,179.985939,82.784132,61.149428,60.496685,58.761216,54.044894,49.959156,46.434196,45.375623,50.120816,57.256892,4022.381506
INYO,Residential,62.663178,60.775926,58.211619,58.875315,62.579658,57.075049,60.835049,60.150255,60.797867,57.624341,57.601839,58.212355,54.828176,56.783709,52.92328,56.395314,57.014938,49.434953,49.333746,48.276794,50.570005,33.414984,33.776659,32.764011,32.911372,31.733539,32.704783,32.482845,32.188117,32.58166,32.221356,1517.742692
INYO,Total,205.596972,210.462669,209.299923,204.708307,230.263496,208.245773,215.032114,233.135736,240.410324,237.580192,229.763922,231.355853,210.776148,216.334953,219.321273,222.08919,232.870131,214.999027,223.364624,220.795259,230.555944,116.199116,94.926087,93.260696,91.672588,85.778432,82.663938,78.917041,77.56374,82.702477,89.478248,5540.124193
MONTEREY,Non-Residential,1705.319208,1812.554845,1825.982845,1899.558105,1895.218914,1984.487836,1929.051809,1910.74687,1828.013315,1843.053711,1841.200183,1872.450048,1892.450231,1847.752426,1830.143106,1841.878245,1894.044841,1892.324993,1873.321511,1812.776267,1781.430644,1760.463201,1595.669729,1697.140491,1611.846788,1653.170323,1469.488018,1580.264553,1603.946975,1554.778845,1514.286576,55054.81545
MONTEREY,Residential,728.953649,686.978528,680.274035,682.293369,685.658176,681.562342,684.890926,722.720582,728.651101,732.823234,734.071403,731.122341,731.221588,741.622688,728.571839,715.492444,724.958049,707.439608,693.574647,684.046614,721.000162,724.201473,680.13944,654.768601,634.604678,623.04451,622.894636,622.10241,606.054357,630.03829,607.814014,21333.58973
MONTEREY,Total,2434.272857,2499.533372,2506.256881,2581.851474,2580.87709,2666.050178,2613.942734,2633.467452,2556.664415,2575.876946,2575.271586,2603.57239,2623.671819,2589.375114,2558.714945,2557.370689,2619.00289,2599.7646,2566.896157,2496.822881,2502.430806,2484.664673,2275.809169,2351.909092,2246.451466,2276.214833,2092.382654,2202.366963,2210.001332,2184.817134,2122.10059,76388.40518
SANTA CLARA,Non-Residential,12043.35771,12703.35469,12857.09439,13066.59501,13022.92769,12957.12125,12829.09484,12668.24571,12622.32299,12626.22524,12343.10652,12590.65881,12776.82284,12558.0655,11964.91901,11679.4333,11581.00034,11325.29994,10889.35815,11764.36109,12796.93871,12643.55409,12084.42739,11824.23273,11097.02845,10793.25191,10730.37174,10853.00388,10930.50757,10797.18305,10912.63943,372332.504
SANTA CLARA,Residential,4392.364209,3983.468475,3856.160526,3964.581384,3809.547596,3857.197217,3850.512708,3916.473837,3888.083275,3924.698466,3923.31482,3969.525469,3955.006887,3900.018764,4091.665975,3885.280825,3777.604582,3856.745985,3631.788038,3632.546272,3816.316597,3773.114506,3649.258914,3509.355246,3408.446035,3295.025941,3205.731343,3240.047942,3148.037332,3163.287437,3137.451293,115412.6579
SANTA CLARA,Total,16435.72192,16686.82317,16713.25491,17031.17639,16832.47528,16814.31847,16679.60755,16584.71955,16510.40627,16550.92371,16266.42135,16560.18428,16731.82973,16458.08426,16056.58499,15564.71412,15358.60492,15182.04593,14521.14618,15396.90736,16613.25531,16416.6686,15733.68631,15333.58797,14505.47448,14088.27785,13936.10308,14093.05183,14078.54491,13960.47048,14050.09072,487745.1619
RIVERSIDE,Non-Residential,8014.699265,8165.546506,8248.46133,8229.302912,8249.798573,8189.368734,8773.14701,8543.18055,8613.756566,7833.966368,7720.695045,7897.188054,8315.317784,8269.474632,8294.186619,7849.840654,7681.845031,7283.344285,6676.184777,5734.934387,6715.279728,6120.459356,5555.655893,5515.358967,5288.372868,5077.687698,4985.983153,3644.368289,3585.566367,3517.474625,3382.85111,211973.2971
RIVERSIDE,Residential,8843.231701,7681.42415,7646.485987,7636.566993,7171.69516,7073.687749,6768.578793,6602.623465,6674.664962,6579.046974,6336.950982,6606.650256,6772.576074,6682.858843,6902.474356,5392.070427,5018.73841,5469.039951,4832.823639,4682.527247,4908.383437,4631.33584,4405.222929,4324.404946,4263.842855,4060.42259,4026.994776,3525.50925,3625.50262,3387.375972,3381.206731,175914.9181
RIVERSIDE,Total,16857.93097,15846.97066,15894.94732,15865.86991,15421.49373,15263.05648,15541.7258,15145.80402,15288.42153,14413.01334,14057.64603,14503.83831,15087.89386,14952.33347,15196.66098,13241.91108,12700.58344,12752.38424,11509.00842,10417.46163,11623.66317,10751.7952,9960.878822,9839.763913,9552.215723,9138.110289,9012.977929,7169.87754,7211.068987,6904.850597,6764.057841,387888.2152
STANISLAUS,Non-Residential,3040.987826,2964.629767,3006.612321,3027.304561,3035.043044,3052.022931,3029.013037,2979.238802,2961.133426,2806.00237,2786.632665,2849.082562,2968.373058,2981.958802,3029.605729,2975.815976,2878.938764,2889.609889,2853.880348,2704.937058,2796.596717,2703.323119,2626.015697,2508.892043,2447.023832,2332.549228,2283.322095,2187.753688,2269.231228,2302.615775,2217.459032,85495.60539
STANISLAUS,Residential,2014.983126,1798.19105,1802.406252,1841.850761,1719.715298,1702.147906,1717.162305,1693.417839,1692.160003,1661.569396,1630.366151,1714.649532,1709.150943,1677.357681,1731.836812,1651.979906,1618.975442,1609.939496,1504.594058,1429.157446,1447.537253,1377.489813,1367.577234,1331.017855,1331.3099,1244.928194,1255.78003,1219.004491,1291.823418,1301.658558,1196.224573,48285.96272
STANISLAUS,Total,5055.970952,4762.820817,4809.018572,4869.155322,4754.758342,4754.170838,4746.175342,4672.656641,4653.29343,4467.571765,4416.998815,4563.732094,4677.524001,4659.316482,4761.442542,4627.795882,4497.914206,4499.549385,4358.474406,4134.094504,4244.13397,4080.812932,3993.592931,3839.909898,3778.333732,3577.477421,3539.102124,3406.75818,3561.054646,3604.274334,3413.683605,133781.5681
MODOC,Non-Residential,106.676871,87.008244,91.479978,93.165331,95.295009,110.477618,114.421846,108.013082,106.445139,87.87527,93.743318,97.685553,97.82181,87.753975,101.258056,95.925456,95.225146,112.642497,106.295988,108.410231,109.576587,109.597951,84.428478,107.788858,111.510432,83.522654,88.038808,97.560813,109.085654,73.770641,89.335467,3061.836761
MODOC,Residential,58.601449,58.184161,57.497851,59.64578,56.800893,54.195965,53.517659,61.093796,57.506586,61.390742,60.299122,61.354571,63.026113,58.710808,59.044041,57.577305,56.453333,56.767659,55.363948,53.73311,55.575865,56.781566,58.079964,56.8023,64.699111,53.878076,55.755366,58.621914,53.699222,54.60313,50.605452,1779.866858
MODOC,Total,165.27832,145.192405,148.977829,152.811111,152.095902,164.673583,167.939506,169.106878,163.951725,149.266012,154.04244,159.040124,160.847923,146.464782,160.302097,153.502761,151.678479,169.410156,161.659936,162.143341,165.152453,166.379517,142.508443,164.591158,176.209543,137.40073,143.794174,156.182727,162.784875,128.373771,139.940919,4841.70362
EL DORADO,Non-Residential,435.62683,465.234481,469.638519,480.78795,461.864826,450.891949,470.485334,486.825161,488.102454,480.680149,476.557161,498.260475,515.146297,514.797407,519.415503,475.125327,442.098754,419.717387,458.928107,478.336821,474.338387,454.567158,433.336892,423.822846,422.5359,398.007576,369.031987,369.16378,363.447253,342.454657,352.182173,13891.4095
EL DORADO,Residential,820.014926,760.77335,748.631682,778.860125,753.118702,723.806295,723.359561,757.876016,765.94886,763.662056,764.194066,770.73227,771.587719,760.614467,760.147472,731.97106,723.288736,689.488039,665.911883,635.351306,659.091005,645.347884,634.835862,591.638586,576.954082,558.651068,548.553618,550.149822,529.892679,539.328355,524.585004,21228.36656
EL DORADO,Total,1255.641756,1226.007831,1218.270201,1259.648075,1214.983528,1174.698244,1193.844895,1244.701177,1254.051314,1244.342205,1240.751227,1268.992745,1286.734016,1275.411874,1279.562975,1207.096387,1165.387489,1109.205427,1124.839991,1113.688127,1133.429392,1099.915042,1068.172754,1015.461433,999.489981,956.658644,917.585605,919.313603,893.339931,881.783012,876.767177,35119.77606
KINGS,Non-Residential,1444.913553,1233.341708,1398.933416,1133.245386,1424.310888,1406.585693,1440.017026,1413.102651,1311.567565,1068.367488,1103.794173,1220.239374,1136.639608,1076.644196,1031.801356,984.737346,1008.941578,763.561952,688.776134,640.814277,643.209937,693.797213,674.310508,731.746107,690.887686,662.551733,769.032434,657.159263,787.960918,785.165653,739.232692,30765.38951
KINGS,Residential,432.346131,388.387877,375.14876,379.810579,365.065164,368.123705,377.143813,371.625369,369.23932,354.653858,348.778435,364.96414,358.929498,346.799155,355.549686,330.186871,326.267423,313.893966,291.759513,283.642465,291.393185,273.951361,265.431352,265.212348,261.264399,243.132359,241.366747,232.703312,233.932851,231.619948,224.178059,9866.501649
KINGS,Total,1877.259683,1621.729585,1774.082176,1513.055965,1789.376052,1774.709398,1817.160839,1784.72802,1680.806884,1423.021346,1452.572608,1585.203513,1495.569106,1423.443351,1387.351042,1314.924217,1335.209,1077.455918,980.535647,924.456742,934.603122,967.748574,939.74186,996.958456,952.152085,905.684092,1010.399181,889.862575,1021.893769,1016.785601,963.410751,40631.89116
SAN DIEGO,Non-Residential,11657.67945,12415.79786,12768.02161,12614.44692,12964.56127,13045.63771,13069.64771,12812.09711,12655.258,12429.08519,12488.26644,12770.54343,13071.30332,12894.53594,12703.05082,12139.56344,12112.56492,11498.21637,11112.41437,10854.81444,12115.88844,11593.13365,10681.72672,10449.25086,9974.420217,9684.593367,9515.537904,9359.186998,9381.470483,8890.077469,9191.469088,358914.2615
SAN DIEGO,Residential,7387.046267,6573.152838,6711.739591,6747.412499,6677.171207,6826.944131,6830.15182,6782.571757,6892.874708,6692.268102,6626.887524,6790.824725,6916.899923,6751.637513,6718.078167,6327.958855,6331.095832,6043.330468,5677.83069,5494.498504,5853.184856,5840.593866,5713.605691,5530.367207,5385.364689,5213.745075,5218.545736,5062.419031,5120.24095,4879.208742,5204.506395,190822.1574
SAN DIEGO,Total,19044.72572,18988.9507,19479.7612,19361.85942,19641.73248,19872.58184,19899.79953,19594.66886,19548.1327,19121.3533,19115.15396,19561.36815,19988.20324,19646.17346,19421.12899,18467.5223,18443.66075,17541.54684,16790.24506,16349.31295,17969.0733,17433.72751,16395.33241,15979.61807,15359.78491,14898.33844,14734.08364,14421.60603,14501.71143,13769.28621,14395.97548,549736.4189
IMPERIAL,Non-Residential,834.483019,839.095659,831.318925,817.450656,895.952526,884.977279,910.369717,920.033589,931.260079,915.34463,894.413782,912.240599,961.130543,877.690028,908.801979,936.009552,948.427988,912.367114,810.702212,869.703226,721.711678,559.984103,620.023033,813.513137,822.645625,810.42616,794.266556,763.275605,686.033622,644.086319,640.630874,25688.36981
IMPERIAL,Residential,651.747098,577.57133,636.399959,627.829465,544.605639,534.139455,536.135344,530.496211,539.425171,513.96626,497.95162,514.220201,502.318925,522.130207,527.443761,486.203706,478.09832,476.96526,445.546523,464.963026,370.534379,403.588289,367.229676,350.996039,330.261908,304.076615,310.161299,67.399539,67.375904,77.573168,136.984365,13394.33866
IMPERIAL,Total,1486.230116,1416.666988,1467.718883,1445.280122,1440.558165,1419.116734,1446.505061,1450.5298,1470.68525,1429.31089,1392.365402,1426.4608,1463.449468,1399.820236,1436.245739,1422.213258,1426.526308,1389.332374,1256.248736,1334.666253,1092.246057,963.572392,987.252709,1164.509176,1152.907533,1114.502774,1104.427855,830.675143,753.409526,721.659488,777.615239,39082.70848
TRINITY,Non-Residential,139.044118,125.405784,120.411967,125.816034,117.730556,101.051829,107.412887,108.320334,100.586127,109.583381,77.454181,83.031267,2.423341,1.991885,62.783185,63.824159,6.957762,15.714568,15.087174,2.208223,2.480198,2.799628,2.31293,2.864903,2.968178,3.00278,3.086261,6.321745,9.538606,10.250799,10.094531,1542.559321
TRINITY,Residential,10.566031,9.517829,10.070621,11.466836,10.834642,10.104943,10.276209,11.067992,11.337604,11.4722,11.181879,10.5832,9.961603,9.410624,8.548091,8.258118,8.393645,7.839283,7.947296,7.554643,7.86844,7.574803,7.393925,7.337407,7.248651,7.045808,7.025787,17.383441,25.816312,26.623264,26.298566,344.009693
TRINITY,Total,149.610149,134.923613,130.482588,137.28287,128.565198,111.156772,117.689096,119.388326,111.923731,121.055581,88.63606,93.614467,12.384944,11.402509,71.331277,72.082278,15.351407,23.553851,23.03447,9.762866,10.348639,10.374431,9.706855,10.202311,10.216828,10.048588,10.112048,23.705185,35.354918,36.874063,36.393096,1886.569015
COLUSA,Non-Residential,249.384219,224.262192,235.555578,227.652879,233.971861,243.903307,240.341584,233.964237,214.866103,207.051296,193.170193,200.079944,193.102229,186.457499,183.224933,184.719636,175.42303,163.501641,198.647619,196.950031,184.207127,187.789259,150.243733,160.209239,151.239858,144.016009,154.01777,145.180261,145.705115,143.530792,145.04475,5897.413924
COLUSA,Residential,73.250484,66.850386,65.425177,68.39382,64.793233,64.340477,64.860402,64.840356,65.673456,64.394165,63.423289,65.591311,64.248522,64.192325,65.002036,63.475316,59.630949,58.221327,54.71279,53.398152,56.692548,54.987594,54.668412,54.037338,53.461666,50.557113,50.078667,49.733609,50.535778,50.731018,50.598114,1850.79983
COLUSA,Total,322.634703,291.112578,300.980754,296.046698,298.765094,308.243785,305.201986,298.804592,280.539559,271.44546,256.593482,265.671255,257.350752,250.649824,248.226969,248.194952,235.05398,221.722968,253.360409,250.348184,240.899676,242.776854,204.912146,214.246577,204.701523,194.573122,204.096438,194.91387,196.240893,194.261811,195.642863,7748.213757
SANTA BARBARA,Non-Residential,1926.281951,2006.45974,2073.171789,2040.950725,2096.908807,2345.371011,2606.151969,2543.666227,2426.391038,2440.505932,2431.386218,2430.038214,2450.576951,2366.611175,2415.409403,2436.146497,2375.864845,2221.891124,2279.189657,2006.912825,2092.638857,1993.019333,2016.011861,2077.341788,1986.411789,1917.759204,1894.46518,1938.906498,1911.934757,1861.6068,1837.320207,67447.30237
SANTA BARBARA,Residential,837.127938,788.050911,758.279448,765.400403,759.004767,765.938248,805.725443,832.595334,837.982892,800.783381,801.523873,809.097071,815.702408,813.73551,773.119208,807.174602,789.748037,772.945977,742.539163,736.791305,773.08073,737.409142,719.325416,706.49292,682.029493,672.124025,670.743134,662.362487,655.938051,659.268904,647.314279,23399.3545
