 11/29/2022,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
2014,5615497.82,5022762.297,5289480.524,4812433.46,5331965.63,5451151.875,6904019.904,6760966.43,6619994.447,6314691.774,5162069.02,5495698.799
2015,5505917.487,4527679.374,5087623.957,4685880.093,4581901.769,5675018.244,6286634.53,6628457.346,6600688.58,6358856.435,5001007.945,5302112.891
2016,5309957.44,4382418.45,3873036.468,3656890.54,4173713.178,5008429.87,5777168.729,6122590.016,5384004.614,5053077.597,4467497.488,4750331.095
2017,4586131.33,3731887.33,3291517.37,2987841.35,3565602.35,4336090.74,5380078.86,5771255.43,5072859.61,4915773.24,4480645.25,4737213.47
2018,4571610.2,4074815.78,4156882.33,2925520.3,3076643,3745210.4,6181561.9,5990650.2,4860121.28,4836610.48,4666205.54,4852195.35
2019,4546765.2,3902559.1,3397034.61,2735007.7,2635827.81,3496126.65,4750070.24,5478363.76,5237808.27,4794056.51,4990605.88,5085669.79
2020,4148394,3692344,3635260,2569253,2765040.48,3449049.61,4372762.9,5568279,5383299,5384925,4112936,4544695.89
2021,4624732.39,3582495.93,3745694.18,3177157.5,3284996.4,4379060.55,5829708.84,5607233.68,5070292.57,4577134.35,4365100.13,4959996.71
2022,4339494.42,3513663.33,3490823.36
