,date,coal,natural gas,nuclear,hydroelectric,wind,solar
0,202209,24.98724,10736.90153,1611.663,1732.27996,887.64266,3465.29041
1,202208,19.65788,11568.06973,1679.4,1756.688,1083.22678,3985.04144
2,202207,22.38795,9504.45244,1684.102,1856.69645,1443.68919,4286.62626
3,202206,19.56353,7134.7868,1633.288,1816.49729,1460.87295,4455.16726
4,202205,15.52536,5208.03935,1692.998,1835.48466,1814.01024,4217.61698
5,202204,9.54906,5736.31324,864.541,1689.63466,1725.24187,3651.80811
6,202203,23.38715,5534.38765,1466.126,1569.0767,1493.11357,3242.38176
7,202202,19.6481,5886.97385,1481.389,1112.57445,1125.09078,2474.85529
8,202201,20.15709,7095.1756,1656.36,1024.93053,1121.50848,2099.72135
9,202112,22.17763,8167.91101,1683.623,871.06434,744.82284,1504.20377
10,202111,22.57091,7894.24045,1445.614,828.37316,541.16276,2119.34737
11,202110,25.99766,8705.08134,1197.61,1218.73178,914.96291,2645.51035
12,202109,25.26136,9185.50751,1626.712,1485.85289,1214.25563,3180.44277
13,202108,25.0918,10876.98242,1681.49,1646.38642,1524.63405,3647.16228
14,202107,25.58952,12033.81469,1683.581,1848.93195,1443.86674,3657.09248
15,202106,26.10412,8614.00178,1633.953,1549.66859,1759.52122,3812.72438
16,202105,24.7684,6185.5857,1674.327,1409.89095,2030.46346,3919.68198
17,202104,25.85271,5990.05085,922.229,1255.15103,1829.30351,3597.4876
18,202103,28.08662,6495.41756,841.163,1012.25957,1328.6904,2868.57222
19,202102,25.24323,6122.09704,799.811,812.1564,1096.62009,2224.365
20,202101,17.40984,7156.40128,1287.253,739.11306,748.7028,1687.33223
21,202012,28.07993,8803.51963,856.606,871.77014,652.43471,1551.91531
22,202011,27.44439,7954.69933,784.013,1065.96355,664.19221,1936.40642
23,202010,24.6802,10137.3972,438.597,1413.05536,868.36309,2297.29121
24,202009,22.10197,9683.11519,1599.991,1738.18311,797.28221,2497.63404
25,202008,24.31064,11305.75384,1597.801,2602.76019,1440.22287,3181.39414
26,202007,24.35868,8873.23042,1278.695,2599.48354,1690.55675,3824.40625
27,202006,20.81202,6287.20217,1628.068,2484.55502,1721.62323,3388.1237
28,202005,24.45762,4488.32333,1597.652,2679.959,1553.08226,3395.15827
29,202004,22.02237,4768.63017,1630.645,1932.52417,1521.19542,2560.52186
30,202003,23.01149,6764.09722,1671.026,1232.7268,1131.06757,2031.29213
31,202002,25.29068,6083.0461,1486.059,1168.75317,780.09592,2074.19797
32,202001,23.72087,6897.67047,1689.545,1587.74397,762.97276,1534.23646
33,201912,27.46181,8672.00594,1110.811,1965.81192,479.72065,1082.32659
34,201911,26.43923,8531.6012,800.964,1639.51093,467.0323,1624.99827
35,201910,27.26471,8513.42588,839.895,2156.68357,876.85939,2494.25221
36,201909,13.83244,8467.94894,1369.77,2796.11333,1209.7302,2723.2917
37,201908,0.0,9691.49767,1677.931,3786.91243,1469.3017,3309.13987
38,201907,1.84575,8158.7791,1687.15,4223.26273,1673.72347,3365.61826
39,201906,22.71171,5058.77988,1632.855,4603.69533,1563.67984,3340.21934
40,201905,21.58564,3731.32222,1692.739,4580.91878,1838.43422,2738.55734
41,201904,24.48748,4271.83666,1551.843,4643.06922,1474.7171,2629.14702
42,201903,25.23326,6093.50923,1132.805,4314.25951,1091.3192,2266.45183
43,201902,23.49431,7058.67741,987.002,2182.70083,1053.55866,1492.53762
44,201901,26.09955,7591.39061,1681.619,1461.83011,536.9922,1264.97318
45,201812,22.77704,8035.46566,1487.667,1448.76351,570.43794,1232.58065
46,201811,20.64582,8033.77064,1573.91,1185.62188,638.62745,1505.47019
47,201810,19.58554,8963.11186,1667.833,1478.63679,1028.89545,2123.5272
48,201809,24.39539,8011.97433,1614.534,2300.82115,1258.63613,2688.73691
49,201808,25.38256,10300.25684,1620.869,2844.12162,1645.08775,2836.68075
50,201807,23.3669,11232.48599,1686.43,3184.09717,1565.46231,2814.14127
51,201806,24.24383,6115.85127,1637.307,2893.03845,1783.63658,3252.54054
52,201805,24.35965,4425.64773,1682.785,3114.16384,1928.77824,3024.19647
53,201804,21.83086,4827.92666,1546.437,3226.10319,1233.54896,2509.41764
54,201803,23.48162,6529.74127,1046.927,1852.25953,1060.31552,2004.97685
55,201802,24.42395,6216.97187,982.658,1196.93824,886.62562,1750.56116
56,201801,26.83498,7111.49914,1666.162,1606.1012,423.89885,1242.34707
57,201712,27.34439,7786.52247,1681.157,1874.69419,242.87889,1331.26148
58,201711,25.51313,7329.76581,1628.939,1812.82778,451.91852,1335.28609
59,201710,25.8342,8436.32294,1683.557,2044.87604,838.96263,2165.01858
60,201709,25.57583,9028.84936,1623.061,2883.52371,1216.52647,2347.26502
61,201708,24.78714,11040.84347,1682.881,3864.63735,1641.50989,2511.21316
62,201707,23.12607,9635.9178,1648.012,4326.3214,1417.4353,2715.06422
63,201706,26.82868,7155.28163,959.831,4450.79203,1637.87887,2969.89483
64,201705,14.41477,5253.45587,840.135,4982.14792,1644.47078,2726.44672
65,201704,19.33808,4232.53517,1412.868,4383.89141,1211.6654,2157.50338
66,201703,27.06185,4777.68026,1569.141,4457.29504,953.57989,2034.88847
67,201702,24.75212,5754.04115,1526.365,3522.70097,750.6387,1086.87466
68,201701,26.51592,7918.94238,1645.132,3759.43335,815.48299,972.20042
69,201612,28.22063,8113.90525,1693.349,2296.27847,764.97527,1039.47054
70,201611,25.36034,7150.40721,1622.046,1660.40323,528.49794,1389.05671
71,201610,26.63405,9298.34908,1604.631,1717.53705,935.12378,1608.77306
72,201609,27.25635,9434.40975,1630.606,2296.84893,996.36124,1911.43468
73,201608,23.58608,11374.62489,1685.863,2867.44894,1471.55216,2145.11532
74,201607,26.09197,10274.62138,1695.468,3447.62437,1697.32964,2166.83057
75,201606,24.62869,8702.86293,1526.133,3317.28576,1670.41618,1850.8595
76,201605,27.32232,5736.06969,846.524,3200.42192,1595.6987,1923.95664
77,201604,25.84158,5288.34831,1635.303,2759.7232,1325.11792,1544.95971
78,201603,28.33235,5559.66385,1694.947,2769.87299,1305.17207,1315.97364
79,201602,26.31688,7156.56292,1582.51,1533.08474,527.9136,1194.77633
80,201601,29.28458,8983.83868,1690.198,1075.59189,690.88018,715.50444
81,201512,30.77326,9455.70234,1583.563,860.47407,916.9184,876.27141
82,201511,23.57758,8829.90934,1370.238,639.63176,618.9325,1050.18723
83,201510,15.63819,11947.08342,904.616,904.97509,666.58253,1130.98456
84,201509,22.19944,12315.96734,1533.642,1375.12913,815.39844,1335.61209
85,201508,25.25004,12398.55561,1666.228,1689.51715,1523.14334,1611.99089
86,201507,24.99344,11766.08201,1681.722,1908.29799,1445.23244,1580.63384
87,201506,24.94886,10440.54838,1639.554,1544.89917,1668.42774,1515.0956
88,201505,26.76127,7420.209,1696.424,1254.51461,1681.17058,1464.23179
89,201504,25.54035,7620.946,1645.487,981.91245,1261.7909,1419.38304
90,201503,26.72947,7940.78283,1694.001,899.49755,825.98345,1256.46736
91,201502,24.33657,6836.28741,1526.21,895.99057,618.76528,893.17904
92,201501,27.12559,9167.53501,1563.7,853.65856,187.21294,680.34723
93,201412,27.17762,9668.77496,1529.595,987.91805,565.96104,603.87543
94,201411,27.29612,8879.43792,1422.921,831.80176,704.78378,808.93821
95,201410,50.80151,12257.3552,940.932,1007.92609,758.50594,969.43337
96,201409,109.04185,12433.53245,1611.914,1253.36986,953.44799,1071.81201
97,201408,119.50739,11885.36689,1508.498,1902.80319,1285.74505,1094.77359
98,201407,118.95261,11509.08061,1663.326,2326.13635,1407.97614,1000.05806
99,201406,117.58735,8134.58947,1627.661,2226.01979,1857.97115,1084.86985
100,201405,48.01294,8235.18247,1679.904,2078.63681,1765.98874,977.68983
101,201404,53.33554,8195.34059,1644.75,1424.29573,1306.17759,842.18858
102,201403,82.01781,8610.77229,960.097,954.4932,1055.04523,711.23804
103,201402,26.28818,9959.62035,799.061,726.16951,831.11348,409.34565
104,201401,24.74067,10657.38229,1597.319,811.76982,499.78145,357.59225
105,201312,28.54378,11884.98495,1677.928,918.78492,460.46651,435.20531
106,201311,30.41019,10189.72896,1595.494,1033.06189,556.41269,409.23307
107,201310,46.36194,10315.60771,1581.357,1409.26611,750.31635,408.1427
108,201309,100.76612,11891.25556,1634.281,1766.08468,1158.46535,459.75345
109,201308,111.2612,11937.3963,1688.18,2628.51037,1296.57587,471.24648
110,201307,118.02983,11679.53674,1485.846,3192.66634,1412.95636,344.61675
111,201306,119.60669,9217.10201,1483.963,2861.11788,1630.77164,355.78546
112,201305,54.20457,7788.85379,1677.72,2707.41436,1740.47034,267.35638
113,201304,58.31894,7392.38499,1625.682,2253.96876,1550.41815,239.25536
114,201303,29.97111,8590.14183,995.689,1786.29115,1055.6493,228.31616
115,201302,60.35892,8942.45506,793.296,1503.70574,727.29818,130.17771
116,201301,65.33766,9693.41139,1672.507,1693.72728,482.25968,64.63597
117,201212,81.51811,9317.8801,1523.855,1967.61283,678.83649,53.21901
118,201211,60.17675,9862.56054,1541.253,1521.07525,384.65927,71.88846
119,201210,97.99522,11408.71293,1520.721,1890.18729,776.07187,114.96503
120,201209,126.13274,12311.1657,1603.811,2439.49288,696.87965,147.71952
121,201208,135.59982,13518.69,1672.765,2974.87954,1000.75536,151.92856
122,201207,125.17708,10270.36475,1674.238,3281.73999,1000.93206,190.88439
123,201206,128.91225,8703.0325,1096.921,3050.11959,1361.76427,219.43108
124,201205,72.02631,8218.30267,822.972,3471.66415,1316.15829,176.2742
125,201204,106.11282,8275.18842,1185.116,2307.13938,768.48873,128.45068
126,201203,146.4567,8947.35467,1674.98,1493.43938,769.08924,87.84759
127,201202,146.77276,9415.70892,1491.044,1105.48137,581.22829,35.97647
128,201201,148.20268,9419.36743,2699.732,1334.53877,419.36616,3.71487
129,201112,150.34075,10243.56168,3325.064,1776.45959,325.45196,28.33579
130,201111,122.7588,7877.0848,3268.229,1959.49418,428.34575,29.29843
131,201110,166.51954,7983.30261,3358.655,2276.98544,415.40412,81.33402
132,201109,153.09749,9942.13439,2960.293,3241.719,522.30852,101.56811
133,201108,165.75182,9761.63229,3285.63,4039.76216,908.28238,138.93254
134,201107,176.60858,7945.66945,3371.007,4993.19465,869.40215,112.27239
135,201106,164.5653,4958.86456,3088.564,4978.9051,1020.82189,129.86885
136,201105,169.85871,4459.62789,2518.593,5120.27498,1026.43106,100.47677
137,201104,168.36312,5003.83815,3238.702,4609.33527,960.47744,82.4991
138,201103,160.94125,5881.15817,3223.313,3901.14842,611.76862,49.47316
139,201102,174.54077,7404.16622,2496.601,2386.62957,429.30397,34.19338
140,201101,208.83626,7512.79054,2528.596,3273.55853,233.83916,0.57687
141,201012,187.8612,8862.214,2495.082,3268.23966,323.62619,13.75131
142,201011,137.17221,9447.78284,1996.662,2070.319,304.52582,33.59882
143,201010,167.8904,11216.49435,1848.429,1974.56866,371.64483,38.65803
144,201009,185.52948,9916.27833,3236.518,2642.99946,550.90245,86.22414
145,201008,181.33203,10751.99058,3382.207,3519.69734,731.43549,104.82755
146,201007,195.12559,9112.88545,3378.457,4175.50371,925.09969,116.88759
147,201006,187.29849,5519.7194,3269.378,4440.19227,867.4381,121.35904
148,201005,178.60616,5920.86851,3354.937,3945.31516,688.89232,105.76663
149,201004,170.33598,8142.94727,2499.608,2580.91644,545.67116,75.17941
150,201003,126.51485,9679.68997,2137.819,2038.50112,398.60011,50.54902
151,201002,187.3247,9074.76776,2217.691,1447.22999,220.6534,20.37771
152,201001,195.23019,9876.67501,2383.969,1327.38721,150.14245,2.1517
153,200912,186.23597,10548.19691,2500.807,1290.58489,170.38561,12.19462
154,200911,186.78976,9171.52769,2117.615,1237.90201,235.40421,25.29835
155,200910,184.09341,10051.54297,1717.049,1784.18651,405.92479,46.65201
156,200909,177.39771,12807.50632,2751.102,2248.05186,479.68181,69.44768
157,200908,169.72397,12240.93162,3003.335,3018.10698,678.51882,85.77761
158,200907,169.83559,11916.26847,3249.463,3700.58463,878.93855,94.75343
159,200906,169.51574,6511.19436,3239.185,3358.51427,850.32458,80.62121
160,200905,140.80932,7052.62978,3263.154,3714.06838,700.78591,80.29015
161,200904,155.59436,6941.20347,3251.377,2713.53251,602.91095,73.05337
162,200903,151.97828,8075.88203,2610.981,2288.92915,442.49507,55.48261
163,200902,166.3279,8696.54877,1751.176,1445.55098,244.60627,21.92266
164,200901,191.64487,9450.02233,2308.56,1088.02416,149.83668,1.89588
165,200812,205.58705,10486.98011,2658.042,854.19361,240.10486,11.39478
166,200811,191.5659,9384.47112,2416.105,786.90439,222.52705,21.25579
167,200810,200.67938,10792.22454,2606.464,1097.85055,297.67288,45.95744
168,200809,210.60055,11567.07353,2625.305,1712.70736,405.75032,72.98956
169,200808,221.53595,12825.49501,2892.796,3422.55571,648.21038,85.38349
170,200807,210.17486,10942.68961,3344.438,3336.29684,700.47161,89.74894
171,200806,200.91215,8381.8515,3006.237,2745.38712,658.0872,100.40249
172,200805,145.49646,7643.55393,2851.49,3231.43957,690.68106,75.90559
173,200804,187.14316,9647.29108,2435.902,2719.98795,538.09103,71.40154
174,200803,148.79413,8486.06118,2518.841,1438.59375,450.30239,56.12217
175,200802,151.19132,9042.43229,2349.679,1228.96927,262.21938,27.64718
176,200801,206.7196,10791.61333,2777.052,1552.9235,270.83673,12.27204
177,200712,199.9882,10991.16842,2405.543,1453.5296,232.92873,1.57941
178,200711,178.27403,9869.98297,2832.968,1716.47228,187.95168,20.04385
179,200710,182.47399,10343.15985,2552.43,1784.06291,348.9179,41.12777
180,200709,204.66905,10934.32504,3248.117,2138.80739,485.67795,57.32474
181,200708,211.57919,13821.27324,3108.988,2865.34375,599.65977,64.12211
182,200707,200.9211,12445.63952,3333.079,3385.22089,674.92581,76.22002
183,200706,204.8399,9335.70149,2920.658,2741.46707,728.55871,81.21034
184,200705,169.99185,7822.77251,2456.207,2987.1797,732.30185,82.84202
185,200704,190.13736,7052.154,3180.544,2250.79169,612.0444,53.28332
186,200703,144.79019,7062.83069,3372.357,2295.721,442.35015,47.7376
187,200702,194.80096,7629.38317,3044.771,1720.67947,307.09727,18.74718
188,200701,215.83977,8392.07948,3336.828,1988.47514,232.51914,12.73065
189,200612,197.29388,9311.69753,2579.294,2496.79906,267.16115,2.614
190,200611,213.21726,8655.02251,2382.494,2344.88684,291.93005,15.398
191,200610,187.18988,9546.96282,2923.758,2324.30919,396.27587,31.769
192,200609,205.57376,10305.03367,3249.287,2790.30735,401.75991,53.175
193,200608,212.68557,11212.64614,3354.801,3855.32399,500.32486,80.958
194,200607,197.84535,13706.32684,3350.342,4647.85744,538.01933,59.942
195,200606,198.87324,8930.72192,3249.499,5278.66409,595.60233,67.612
196,200605,140.71826,7394.17841,2318.376,5827.18506,577.24271,68.629
197,200604,159.93031,5870.45379,1364.292,5382.24527,430.04799,51.423
198,200603,150.52216,7289.17113,2399.513,4821.08698,388.56346,32.202
199,200602,177.41151,6572.71734,2247.565,3790.67102,215.08697,18.654
200,200601,194.08075,6896.18411,2539.4,4488.0438,280.78637,12.196
201,200512,196.55334,8290.89664,3120.421,3043.88895,214.20457,2.098
202,200511,180.34661,7605.65777,2384.395,2172.83664,216.85855,11.868
203,200510,175.92215,7475.10462,3014.971,2462.83126,322.17748,36.6
204,200509,178.1435,8432.57892,3062.681,2803.09979,404.17438,59.857
205,200508,180.3187,11415.81694,3296.372,3644.57343,384.43107,74.517
206,200507,200.35118,11149.90523,3294.088,4473.208,497.14587,70.784
207,200506,189.39152,6706.19219,3173.785,4767.09041,583.73837,86.916
208,200505,171.76351,6187.3439,3113.309,4841.95492,551.19419,79.58034
209,200504,156.44992,6091.44265,3144.235,3500.96745,429.12464,56.882
210,200503,183.40343,6635.7174,3084.497,3045.17142,334.43305,37.014
211,200502,164.13678,6231.39635,2391.027,2568.14222,150.04572,12.48
212,200501,158.59419,7131.79668,3075.117,2308.10208,174.70113,8.117
213,200412,239.37015,8369.46495,2033.124,2274.18543,117.40461,7.528
214,200411,150.29334,8387.50803,1485.374,1819.51656,155.22899,15.04
215,200410,173.6846,8531.42559,2268.289,2032.19437,259.10058,33.119
216,200409,185.51206,9721.38103,3049.828,2368.41503,358.56317,60.086
217,200408,208.4758,10565.3741,3284.487,3142.13446,491.66344,72.846
218,200407,217.64421,10565.56762,3214.591,3618.2425,588.1373,81.643
219,200406,191.84812,7129.56852,2749.697,3449.19562,682.64611,87.876
220,200405,164.01815,7258.53134,2459.205,3182.26599,633.78893,81.029
221,200404,79.46481,7544.68766,2116.458,3441.20402,399.32277,56.428
222,200403,206.80135,7721.33009,2096.476,3562.45403,287.75292,52.513
223,200402,210.96475,7261.81937,2431.681,2509.34737,202.16472,10.474
224,200401,209.73099,7165.57456,3078.677,2741.77391,130.10173,12.308
225,200312,201.977,7152.611,3236.979,2479.536,200.515,4.238
226,200311,201.18,7040.018,3185.756,1942.336,187.812,14.007
227,200310,205.731,8937.383,3303.648,2208.753,284.643,35.404
228,200309,213.888,9442.929,3197.721,2830.332,339.95,55.834
229,200308,210.4,10189.546,3310.857,3480.517,396.098,61.949
230,200307,216.013,10817.367,3298.397,4039.974,431.812,62.382
231,200306,197.728,6278.049,3071.407,4225.802,549.217,90.629
232,200305,168.217,5446.758,3310.327,4508.149,453.36,67.913
233,200304,123.757,5627.677,2805.373,2802.478,424.06,60.263
234,200303,181.775,6956.599,2508.408,2579.209,325.502,49.98709
235,200302,194.889,6628.001,1754.261,2673.406,193.197,17.80727
236,200301,210.749,6915.243,2610.655,2600.211,109.264,13.19301
237,200212,207.535,7306.993,2872.501,2109.083,148.945,4.295
238,200211,158.407,6585.897,2163.179,1771.023,157.969,28.152
239,200210,217.024,7070.808,2948.833,1864.41,284.412,30.924
240,200209,201.927,9012.444,3150.391,2400.171,294.802,52.569
241,200208,208.086,9813.914,3195.924,3068.641,476.442,74.88
242,200207,204.377,10383.127,3168.074,3282.221,443.32,85.506
243,200206,204.991,7874.932,2217.453,3379.494,557.098,95.49
244,200205,166.256,5661.771,2181.981,3462.756,478.276,57.589
245,200204,158.37,5634.562,3111.275,2913.902,409.496,45.81
246,200203,213.429,7704.101,3227.002,2452.479,266.987,44.353
247,200202,183.984,5888.042,2868.838,1920.923,153.45,23.521
248,200201,203.422,6687.453,3246.889,2515.525,131.448,11.283
249,200112,211.485,7418.123,3286.761,1685.15,171.53,3.998
250,200111,143.407,7011.475,3067.781,1357.031,143.261,14.251
251,200110,137.018,8942.997,2960.685,1819.154,253.31,20.759
252,200109,182.546,9412.643,3163.653,2028.142,293.075,64.73
253,200108,226.382,11506.271,3280.143,2809.357,408.487,85.228
254,200107,223.656,10845.767,3294.607,3002.483,440.39,91.921
255,200106,215.798,9350.107,3100.798,3053.895,438.403,91.086
256,200105,200.475,9698.874,1667.926,3045.222,377.618,81.01
257,200104,205.59,9208.768,2318.671,2096.459,392.673,38.722
258,200103,102.496,9474.176,2468.625,1764.772,299.944,31.498
259,200102,184.141,8870.575,2229.872,1290.013,147.624,12.568
260,200101,199.857,10192.494,2379.998,1590.096,133.423,6.5
